Starting_Date,Ending_Date
25 December 2020 (00:00),1 January 2021 (00:00)
6 November 2020 (12:00),16 November 2020 (12:00)
7 August 2020 (12:00),17 August 2020 (12:00)
8 May 2020 (12:00),18 May 2020 (12:00)
21 February 2020 (12:00),2 March 2020 (12:00)
22 November 2019 (12:00),2 December 2019 (12:00)
26 July 2019 (12:00),29 July 2019 (12:00)
22 February 2019 (12:00),25 February 2019 (12:00)
16 November 2018 (12:00),19 November 2018 (12:00)
31 August 2018 (12:00),3 September 2018 (12:00)
23 February 2018 (12:00),26 February 2018 (12:00)
15 September 2017 (12:00),18 September 2017 (12:00)
19 May 2017 (12:00),22 May 2017 (12:00)
30 December 2016 (12:00),4 January 2017 (12:00)
23 September 2016 (12:00),26 September 2016 (12:00)
26 February 2016 (12:00),29 February 2016 (12:00)
25 September 2015 (12:00),28 September 2015 (12:00)
20 February 2015 (12:00),23 February 2015 (12:00)
31 October 2014 (12:00),2 November 2014 (12:00)
21 February 2014 (12:00),24 February 2014 (14:00)
27 October 2012 (12:00),29 October 2012 (12:00)
16 March 2012 (12:00),19 March 2012 (12:00)
9 September 2011 (12:00),12 September 2011 (12:00)
